site_name,year,lat,lon,alt_cm,n_pts
5,2013,68.920772,-150.036893,52.35,2
50,2013,68.92634146341464,-150.27,34.458536585365856,82
6,2013,68.906329,-150.233182,66.75,2
6B1_T1,2013,69.40127772459016,-150.9112671114754,60.0,244
7,2013,69.025704,-150.122863,43.4,2
8,2013,69.005575,-150.392413,57.099999999999994,2
9,2013,68.985278,-150.521837,67.6,1
B4_815,2013,63.92047600544554,-145.37822706534652,89.41584158415841,404
BL3,2014,64.38823886358209,-146.88148451741293,64.41487018089552,402
BS,2014,71.25482208557897,-156.56730072909522,42.56309938289645,24492
BS_HD_1,2014,71.26167323762377,-156.61665274257425,45.45544554455446,101
BS_HD_2,2014,71.2597224950495,-156.593639,28.544554455445546,101
BS_HD_3,2014,71.25689704950496,-156.56395824752477,37.10891089108911,101
BS_HD_4,2014,71.25552453465346,-156.549611,37.04950495049505,101
BS_HD_5,2014,71.2557040990099,-156.55343058415843,40.56435643564357,101
BS_HD_7,2014,71.24659714851485,-156.55991666336635,63.02970297029703,101
BW_SAR_FC,2013,71.28048177400001,-156.60040182142856,20.42142857142857,70
BW_SAR_HC,2013,71.274074674,-156.6309975,19.18,75
BW_SAR_LC,2013,71.28165157763637,-156.61043120727274,21.70909090909091,55
Balloon_3,2013,61.287984785742346,-162.86782381893164,73.5537982672329,5092
Balloon_3_HR,2013,61.28437480217821,-162.86494876237623,64.08910891089108,101
Balloon_4,2013,61.19713701578675,-162.78956910843687,68.15231789438148,3864
Balloon_4_HR,2013,61.196837922277226,-162.78751160990097,62.95049504950495,101
Barrow_NSIDC,2013,71.3226835,-156.609998325,52.1625,20
Basin Turnout,2013,68.63657193499999,-149.484645985,52.69,20
Basin_Turnout,2013,68.63488106961277,-149.48631803601845,48.31164405502167,10614
Basin_Turnout,2014,68.64166757493265,-149.47406970847362,45.823731762065094,1782
Big Hole,2014,69.11301246666667,-148.81908846666664,42.266666666666666,15
Big_Hole,2014,69.11345887728876,-148.86892857002815,50.72426496311506,13149
Bigmouth_0,2014,61.26798715645671,-163.23315477940753,64.68863669733679,6954
Bigmouth_1,2014,61.26661672092863,-163.2391938405897,63.98361679102232,14516
Bigmouth_1_HR1,2014,61.267622227722775,-163.22983747524754,65.93069306930693,101
Bigmouth_1_HR2,2014,61.26203857683168,-163.25117648514853,54.7029702970297,101
Bigmouth_2,2014,61.27233851170047,-163.23903232189286,61.87360038216588,3846
Bigmouth_2_HR,2014,61.27109994217821,-163.23680376237624,61.15841584158416,101
Bonanza Creek,2013,64.69587933333332,-148.32553683333333,43.3584229390681,279
Bottleneck,2014,61.27803815367667,-162.62968481988432,69.57116343798953,3631
Bottleneck_2,2014,61.278034,-162.630347,64.5,2
Bottleneck_HR,2014,61.278157939900005,-162.628575471,77.96,100
Burn,2023,61.29739625,-121.263921625,113.4,240
Burn,2024,61.297396451612904,-121.26392141129033,114.95161290322581,248
CF_821_1,2014,67.07900790732673,-150.35337017326734,49.277227722772274,404
CL,2014,71.3131931823833,-156.61306229721583,40.065781728278644,26543
CL_HD_1,2014,71.32102504705882,-156.61850437647058,58.752941176470586,85
CL_HD_2,2014,71.3109553069307,-156.62968052475247,37.0990099009901,101
CL_HD_3,2014,71.30484099009901,-156.61090274257427,33.15841584158416,101
CL_HD_4,2014,71.31635636633663,-156.61220830693068,40.15841584158416,101
CL_HD_5,2014,71.3147622970297,-156.59026501980196,37.445544554455445,101
CL_HD_6,2014,71.31084883168317,-156.58872504950494,37.26732673267327,101
CN_MM71,2013,64.85001775438596,-163.69407950877195,35.175438596491226,285
CP,2014,71.27309088206579,-156.63484051515928,35.230451076695786,3892
CP_HD_1,2014,71.27364226732674,-156.6388888811881,31.03960396039604,101
CV1.1,2022,68.7393959300001,-133.5132636,29.5,1
CV1.2,2022,68.73920545,-133.51262055,63.0,1
CV1.3,2022,68.73896241,-133.51341923,25.75,1
CV1.4,2022,68.73918172,-133.51387717,36.25,1
CV1.5,2022,68.7391746800001,-133.51345042,36.0,1
CV10.1,2022,68.74942586,-133.52351198,45.0,1
CV10.2,2022,68.7496203700001,-133.52414837,62.25,1
CV10.3,2022,68.7498236600001,-133.52348175,39.5,1
CV10.4,2022,68.7496074900001,-133.52301185,55.25,1
CV10.5,2022,68.74963792,-133.5235986,35.0,1
CV11.1,2022,68.31994669,-133.51854603,55.0,1
CV11.2,2022,68.3199781800001,-133.51776921,52.0,1
CV11.3,2022,68.3196722000001,-133.51761158,57.0,1
CV11.4,2022,68.3196518400001,-133.51873674,57.0,1
CV11.5,2022,68.3197877200001,-133.51807875,47.0,1
CV12.1,2022,68.3203044100001,-133.51743582,45.25,1
CV12.2,2022,68.32063571,-133.51740174,39.0,1
CV12.3,2022,68.32053625,-133.51674063,60.5,1
CV12.4,2022,68.32025516,-133.51667637,41.75,1
CV12.5,2022,68.3203603000001,-133.51692363,57.75,1
CV13.1,2022,68.3209547800001,-133.51545072,53.5,1
CV13.2,2022,68.3207825520001,-133.515026921,67.25,1
CV13.3,2022,68.32062276,-133.51566907,40.0,1
CV13.4,2022,68.320863398,-133.515932374,35.0,1
CV13.5,2022,68.3207966850001,-133.515547158,63.0,1
CV14.1,2022,68.3211338400001,-133.51569956,73.75,1
CV14.2,2022,68.3210237800001,-133.51641954,46.75,1
CV14.3,2022,68.32126916,-133.516681,45.0,1
CV14.4,2022,68.3213905100001,-133.51606984,60.0,1
CV14.5,2022,68.3212566000001,-133.51621603,59.25,1
CV15.1,2022,68.3205261900001,-133.51912092,62.75,1
CV15.2,2022,68.3207443800001,-133.51954577,27.25,1
CV15.3,2022,68.32093784,-133.51897004,48.5,1
CV15.4,2022,68.3206680100001,-133.51857597,41.25,1
